Schedule ID,Schedule Title,Schedule Weight,Budget Line,Column,Cell Key,Format,Entry Mode,Calculation Rule,Instructor Solution
sales,A. Sales Budget,5,Budgeted unit sales,Q1,sales.units.Q1,units,student_input,,24000.0
sales,A. Sales Budget,5,Budgeted unit sales,Q2,sales.units.Q2,units,student_input,,28000.0
sales,A. Sales Budget,5,Budgeted unit sales,Q3,sales.units.Q3,units,student_input,,32000.0
sales,A. Sales Budget,5,Budgeted unit sales,Q4,sales.units.Q4,units,student_input,,30000.0
sales,A. Sales Budget,5,Budgeted unit sales,Total,sales.units.Total,units,system_calculated,SUM(sales.units.Q1:sales.units.Q4),114000.0
sales,A. Sales Budget,5,Budgeted sales revenue,Q1,sales.revenue.Q1,currency,system_calculated,sales.units.Q1 * selling_price_per_unit,4440000.0
sales,A. Sales Budget,5,Budgeted sales revenue,Q2,sales.revenue.Q2,currency,system_calculated,sales.units.Q2 * selling_price_per_unit,5180000.0
sales,A. Sales Budget,5,Budgeted sales revenue,Q3,sales.revenue.Q3,currency,system_calculated,sales.units.Q3 * selling_price_per_unit,5920000.0
sales,A. Sales Budget,5,Budgeted sales revenue,Q4,sales.revenue.Q4,currency,system_calculated,sales.units.Q4 * selling_price_per_unit,5550000.0
sales,A. Sales Budget,5,Budgeted sales revenue,Total,sales.revenue.Total,currency,system_calculated,sales.units.Total * selling_price_per_unit,21090000.0
collections,B. Cash Collections Budget,8,Collections from current-quarter sales,Q1,collections.current.Q1,currency,student_input,,1554000.0
collections,B. Cash Collections Budget,8,Collections from current-quarter sales,Q2,collections.current.Q2,currency,student_input,,1813000.0
collections,B. Cash Collections Budget,8,Collections from current-quarter sales,Q3,collections.current.Q3,currency,student_input,,2072000.0
collections,B. Cash Collections Budget,8,Collections from current-quarter sales,Q4,collections.current.Q4,currency,student_input,,1942500.0
collections,B. Cash Collections Budget,8,Collections from current-quarter sales,Total,collections.current.Total,currency,student_input,,7381500.0
collections,B. Cash Collections Budget,8,Collections from prior-quarter sales / beginning A/R,Q1,collections.prior.Q1,currency,student_input,,2700000.0
collections,B. Cash Collections Budget,8,Collections from prior-quarter sales / beginning A/R,Q2,collections.prior.Q2,currency,student_input,,2886000.0
collections,B. Cash Collections Budget,8,Collections from prior-quarter sales / beginning A/R,Q3,collections.prior.Q3,currency,student_input,,3367000.0
collections,B. Cash Collections Budget,8,Collections from prior-quarter sales / beginning A/R,Q4,collections.prior.Q4,currency,student_input,,3848000.0
collections,B. Cash Collections Budget,8,Collections from prior-quarter sales / beginning A/R,Total,collections.prior.Total,currency,student_input,,12801000.0
collections,B. Cash Collections Budget,8,Total cash collections,Q1,collections.total.Q1,currency,student_input,,4254000.0
collections,B. Cash Collections Budget,8,Total cash collections,Q2,collections.total.Q2,currency,student_input,,4699000.0
collections,B. Cash Collections Budget,8,Total cash collections,Q3,collections.total.Q3,currency,student_input,,5439000.0
collections,B. Cash Collections Budget,8,Total cash collections,Q4,collections.total.Q4,currency,student_input,,5790500.0
collections,B. Cash Collections Budget,8,Total cash collections,Total,collections.total.Total,currency,student_input,,20182500.0
collections,B. Cash Collections Budget,8,Ending accounts receivable,Total,collections.ending_ar.Total,currency,student_input,,3607500.0
production,C. Production Budget,8,Desired ending finished-goods units,Q1,production.desired_fg.Q1,units,student_input,,5600.0
production,C. Production Budget,8,Desired ending finished-goods units,Q2,production.desired_fg.Q2,units,student_input,,6400.0
production,C. Production Budget,8,Desired ending finished-goods units,Q3,production.desired_fg.Q3,units,student_input,,6000.0
production,C. Production Budget,8,Desired ending finished-goods units,Q4,production.desired_fg.Q4,units,student_input,,5200.0
production,C. Production Budget,8,Total unit requirements,Q1,production.total_needs.Q1,units,student_input,,29600.0
production,C. Production Budget,8,Total unit requirements,Q2,production.total_needs.Q2,units,student_input,,34400.0
production,C. Production Budget,8,Total unit requirements,Q3,production.total_needs.Q3,units,student_input,,38000.0
production,C. Production Budget,8,Total unit requirements,Q4,production.total_needs.Q4,units,student_input,,35200.0
production,C. Production Budget,8,Less: beginning finished-goods units,Q1,production.beginning_fg.Q1,units,student_input,,4800.0
production,C. Production Budget,8,Less: beginning finished-goods units,Q2,production.beginning_fg.Q2,units,student_input,,5600.0
production,C. Production Budget,8,Less: beginning finished-goods units,Q3,production.beginning_fg.Q3,units,student_input,,6400.0
production,C. Production Budget,8,Less: beginning finished-goods units,Q4,production.beginning_fg.Q4,units,student_input,,6000.0
production,C. Production Budget,8,Required production units,Q1,production.units.Q1,units,student_input,,24800.0
production,C. Production Budget,8,Required production units,Q2,production.units.Q2,units,student_input,,28800.0
production,C. Production Budget,8,Required production units,Q3,production.units.Q3,units,student_input,,31600.0
production,C. Production Budget,8,Required production units,Q4,production.units.Q4,units,student_input,,29200.0
production,C. Production Budget,8,Required production units,Total,production.units.Total,units,student_input,,114400.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Materials needed for production (kg),Q1,materials.production_needs_kg.Q1,units,student_input,,111600.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Materials needed for production (kg),Q2,materials.production_needs_kg.Q2,units,student_input,,129600.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Materials needed for production (kg),Q3,materials.production_needs_kg.Q3,units,student_input,,142200.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Materials needed for production (kg),Q4,materials.production_needs_kg.Q4,units,student_input,,131400.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Materials needed for production (kg),Total,materials.production_needs_kg.Total,units,student_input,,514800.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Desired ending raw-material inventory (kg),Q1,materials.desired_rm_kg.Q1,units,student_input,,19440.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Desired ending raw-material inventory (kg),Q2,materials.desired_rm_kg.Q2,units,student_input,,21330.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Desired ending raw-material inventory (kg),Q3,materials.desired_rm_kg.Q3,units,student_input,,19710.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Desired ending raw-material inventory (kg),Q4,materials.desired_rm_kg.Q4,units,student_input,,17955.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Total material requirements (kg),Q1,materials.total_needs_kg.Q1,units,student_input,,131040.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Total material requirements (kg),Q2,materials.total_needs_kg.Q2,units,student_input,,150930.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Total material requirements (kg),Q3,materials.total_needs_kg.Q3,units,student_input,,161910.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Total material requirements (kg),Q4,materials.total_needs_kg.Q4,units,student_input,,149355.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Less: beginning raw-material inventory (kg),Q1,materials.beginning_rm_kg.Q1,units,student_input,,16740.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Less: beginning raw-material inventory (kg),Q2,materials.beginning_rm_kg.Q2,units,student_input,,19440.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Less: beginning raw-material inventory (kg),Q3,materials.beginning_rm_kg.Q3,units,student_input,,21330.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Less: beginning raw-material inventory (kg),Q4,materials.beginning_rm_kg.Q4,units,student_input,,19710.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Required material purchases (kg),Q1,materials.purchases_kg.Q1,units,student_input,,114300.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Required material purchases (kg),Q2,materials.purchases_kg.Q2,units,student_input,,131490.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Required material purchases (kg),Q3,materials.purchases_kg.Q3,units,student_input,,140580.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Required material purchases (kg),Q4,materials.purchases_kg.Q4,units,student_input,,129645.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Required material purchases (kg),Total,materials.purchases_kg.Total,units,student_input,,516015.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Cost of material purchases,Q1,materials.purchase_cost.Q1,currency,student_input,,960120.0
materials,D. Direct Materials Purchases and Cash Payments Budget,12,Cost of material purchases,Q2,materials.purchase_cost.Q2,currency,student_input,,1104516.0
