Table,Field,Data Type,Nullable,Key/Constraint,Default,Description,Suggested Dataverse Column
scenarios,scenario_id,INTEGER,No,Primary key,Auto increment,Internal scenario identifier,nb_budgetscenarioid
scenarios,scenario_code,TEXT,No,Unique,,Human-readable scenario code,nb_scenariocode
scenarios,company_name,TEXT,No,,,AI-generated manufacturing company name,nb_companyname
scenarios,budget_year,INTEGER,No,,,Fiscal year covered by the master budget,nb_budgetyear
scenarios,difficulty,TEXT,No,,,Academic difficulty and target level,nb_difficulty
scenarios,assignment_information_access,TEXT,No,CHECK: professor_only or student_and_professor,professor_only,Controls whether case facts and assignment requirements are available only within the professor access suite or also released to students,nb_assignmentinformationaccess
scenarios,assumptions_json,TEXT/JSON,No,,,Professor-access assignment assumptions and case facts used by the calculation engine,nb_assumptionsjson
scenarios,schedules_json,TEXT/JSON,No,,,"Budget workspace schedule definitions, columns, rows, weights, and instructions required for student completion",nb_schedulesjson
scenarios,solution_json,TEXT/JSON,No,,,Instructor solution keyed by budget cell identifier,nb_solutionjson
scenarios,active,INTEGER/Boolean,No,,1,Indicates whether the scenario is available,statecode or nb_active
scenarios,created_at,TEXT/UTC timestamp,No,,,Scenario creation timestamp,createdon
users,user_id,INTEGER,No,Primary key,Auto increment,Application user identifier,nb_budgetuserid
users,username,TEXT,No,Unique,,Login name,nb_username
users,display_name,TEXT,No,,,Professor or student display name,nb_name
users,role,TEXT,No,,,Authorization role: professor or student,nb_role
users,password_hash,TEXT,No,,,PBKDF2-SHA256 salted password hash; never stores plaintext passwords,Not recommended for Dataverse; use Microsoft Entra ID
users,active,INTEGER/Boolean,No,,1,Account enabled flag,statecode or nb_active
users,scenario_id,INTEGER,No,Foreign key,,Assigned scenario,nb_BudgetScenario lookup
users,created_at,TEXT/UTC timestamp,No,,,Account creation timestamp,createdon
student_entries,entry_id,INTEGER,No,Primary key,Auto increment,Draft-entry identifier,nb_budgetentryid
student_entries,user_id,INTEGER,No,Foreign key,,Student who owns the draft cell,nb_BudgetUser lookup
student_entries,scenario_id,INTEGER,No,Foreign key,,Scenario associated with the entry,nb_BudgetScenario lookup
student_entries,cell_key,TEXT,No,Alternate unique key with user/scenario,,Stable schedule cell identifier such as sales.units.Q1 or sales.revenue.Q1,nb_cellkey
student_entries,entered_value,TEXT,Yes,,,"Numeric draft value entered by the student or generated by an application calculation, retained as text during drafting",nb_enteredvalue
student_entries,entry_type,TEXT,No,CHECK: student_input or system_calculated,student_input,Identifies whether the cell value is entered by the student or calculated by the application; Section A sales totals and revenue use system_calculated,nb_entrytype
student_entries,calculation_rule,TEXT,Yes,,,"Formula metadata for calculated cells, including annual unit summation and Budgeted Unit Sales multiplied by Selling Price per Unit",nb_calculationrule
student_entries,updated_at,TEXT/UTC timestamp,No,,,Last autosave timestamp,modifiedon
submissions,submission_id,INTEGER,No,Primary key,Auto increment,Graded submission identifier,nb_budgetsubmissionid
submissions,user_id,INTEGER,No,Foreign key,,Submitting student,nb_BudgetUser lookup
submissions,scenario_id,INTEGER,No,Foreign key,,Submitted scenario,nb_BudgetScenario lookup
submissions,attempt_number,INTEGER,No,Unique with user/scenario,,Sequential attempt number,nb_attemptnumber
submissions,score,REAL,No,,,Weighted score from 0 through 100,nb_score
submissions,entries_json,TEXT/JSON,No,,,Snapshot of every submitted budget cell,nb_entriesjson
submissions,grading_json,TEXT/JSON,No,,,Schedule-level and cell-level grading results,nb_gradingjson
submissions,submitted_at,TEXT/UTC timestamp,No,,,Submission timestamp,nb_submittedatutc
